ID,Artista
334,Vivid BAD SQUAD
335,Supercell
336,ClariS
337,Hiroshi Kitadani
338,Cö shu Nie
339,Omoinotake
340,キタニタツヤ
341,Da-iCE
342,the peggies
343,前島麻由
344,いきものがかり
345,Yuu Miyashita
346,x0o0x_
347,YUI
348,fhána
349,きくおはな
350,Shoko Nakagawa
351,inabakumori
352,シユイ
353,ATARASHII GAKKO!
354,Sumika
355,Tia
356,ワンダーランズ×ショウタイム
357,みゆな
358,Anna
359,Marcella Bella
360,Joan Thiele
361,Chanel
362,Anna Tatangelo
363,Matia Bazar
364,Marina Satti
365,Lo Stato Sociale
366,Mae Muller
367,Tiromancino
368,cmqmartina
369,Giuni Russo
370,La Zarra
371,Irene Grandi
372,Achille Lauro
373,Dolcenera
374,Anna Bergendahl
375,Nathalie Cardone
376,Marcus & Martinus
377,Massimo Ranieri
378,Olly
379,Urban Symphony
380,Silia Kapsis
381,Nutsa
382,Sarah Bonnici
383,Raiven
384,Silvester Belt
385,Nebulossa
386,Mustii
387,Electric Fields
388,Eden Golan
389,Teya Dora
390,Bambie Thug
391,Maria Sur
392,Slimane
393,Fahree
394,Andromache
395,efendi
396,Keiino
397,Brooke
398,ELENA TSAGRINOU
399,Margaret Berger
400,Vicco
401,Natalia Gordienko
402,Blanca Paloma
403,Amanda Tenfjord
404,Ulrikke
405,Senhit
406,Stefania
407,Lena
408,Monika Liu
409,5MIINUST & Puuluup
410,MÉLOVIN
411,Luke Black
412,S10
413,Noa Kirel
414,Jann
415,Eden Alene
416,THE ROOP
417,Gjon's tears
418,Ana Mena
419,Rhove & ANNA
420,Samuele Bersani
421,Jacqline
422,Gianluca Grignani
423,ICY SUBZERO
424,Angy
425,Maninni
426,Raf
427,Damiano David
428,Carl Brave
429,Mr. Rain
430,Chiara Galiazzo
431,Luca Carboni
432,Niccolò Fabi
433,Charlie Charles
434,Iolanda
435,Brunette
436,Cornelia Jakobs
437,Natalia Barbu
438,st. Pedro
439,Loïc Nottet
440,Subsonica
441,Drillionaire
442,Eros Ramazzotti
443,Rkomi
444,TEDUA
445,Blanco
446,Bresh
447,Sick Luke
448,Dani Faiv
449,Tony Effe
450,Fred De Palma
451,Sfera Ebbasta
452,NIGHT SKINNY
453,Capo Plaza
454,Madman
455,Gemitaiz
456,Vegas Jones
457,Roshelle
458,Ketama126
459,Federico Rossi
460,Rigoberta Bandini
461,Andrew Lambrou
462,Monika Linkytė
463,gustaPH
464,REMO FORRER
465,Pasha Parfeny
466,Piqued Jacks
467,Victor Vernicos
468,TuralTuranX
469,Duncan Laurence
470,TVORCHI
471,WRS
472,Mia Nicolai
473,Måns Zelmerlöw
474,Riccardo Cocciante
475,Fabio Concato
476,Pino Daniele
477,Francesco De Gregori
478,fripSide
479,Roberto Vecchioni
480,川田まみ
481,Lia
482,原田ひとみ
483,Fabrizio De André
484,Ex-Otago
485,Motta
486,Dente
487,Giorgio Poi
488,"Colapesce, Dimartino"
489,Afterhours
490,Caterina Caselli
491,Milva
492,Nomadi
493,Stadio
494,Alexia
495,Paola Iezzi
496,Geri Halliwell
497,Viola Valentino
498,Atomic Kitten
499,Neja
500,Mónica Naranjo
501,Alizée
502,Alcazar
503,Ivana Spagna
504,Melanie C
505,bnkr44
506,Paky
507,Natti Natasha
508,Jake la Furia
509,bad gyal
510,Sofía Reyes
511,Karol G
512,Lola Indigo
513,Maluma
514,Nicky Jam
515,Becky G
516,Sofia Reyes
517,Lunay
518,G.R.L.
519,Alvaro Soler
520,Ron
521,NYV
522,Music Go Music
523,Betta Lemme
524,Elenoir
525,Federica Abbate
526,VillaBanks
527,Club Dogo
528,Marracash
529,Gims
530,Willie Peyote
531,Artie 5ive
532,Frankie hi-nrg mc
533,"Alfa, Yanomi"
534,Mida
535,Post Nebbia
536,l'officina della camomilla
537,Boom Da Bash
538,99 Posse
539,Ernia
540,thasup
541,medy
542,Ava
543,Deddy
544,"Fedez, Annalisa, Articolo 31"
545,Nayt
546,Random
547,Sarah Toscano
548,Shade
549,Lucio Corsi
550,yungest Moonstar
551,Finesse
552,Salmo
553,Luchè
554,Rancore
555,Gino Paoli
556,Marco Armani
557,Ivano Fossati
558,Pooh
559,Eugenio Finardi
560,Luigi Tenco
561,Adriano Celentano
562,Al Bano & Romina Power
563,Fast Animals and slow kids
564,Tre allegri ragazzi morti
565,IOSONOUNCANE
566,Andrea Laszlo De Simone
567,The Zen Circus
568,Sick Tamburo
569,Ministri
570,Mannarino
571,Marlene Kuntz
572,Marco Castello
573,Vinicio Capossela
574,Bandabardò
575,Prozac+
576,Mecna
577,Kid Yugi
578,Massimo Pericolo
579,Piotta
580,Johnny Marsiglia
581,Bassi Maestro
582,Noyz Narcos
583,Ele A
584,CARL BRAVE X FRANCO126
585,MezzoSangue
586,Colle Der Fomento
