ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog,ZIndex
2522,Aliyah's Interlude,434151,4338750,9.99361,2.39731,-0.45087
2523,moistbreezy,18298,348554,19.0477,2.99811,0.42751
2524,Dumblonde,10126,308175,30.43102,3.44779,1.08495
2525,After School,188823,9960491,52.75013,3.98434,1.86941
2526,Nat & Alex Wolff,98096,791757,8.07116,2.2051,-0.73189
2527,SYML,1036972,18872612,18.19971,2.95489,0.36432
2528,Dominic Fike,1880844,103972778,55.27982,4.03033,1.93665
2529,d4vd,1717534,69069595,40.21437,3.71878,1.48115
2530,Jaymes Young,943825,14932013,15.82072,2.82261,0.17092
2531,Sofia Isella,116026,1784896,15.38345,2.79627,0.13241
2532,mehro,426393,5557672,13.03412,2.64149,-0.09387
2533,David Kushner,806636,17588513,21.80474,3.12696,0.61589
2534,Mitchel Musso,153146,1186866,7.74984,2.16903,-0.78462
2535,Miley Cyrus & Billy Ray Cyrus,14386,99663,6.92729,2.07031,-0.92895
2536,Troy & Gabriella,46022,531871,11.55663,2.53024,-0.25652
2537,Anna Margaret,104637,641358,6.1293,1.96421,-1.08408
2538,Camp Rock,146996,1094584,7.4463,2.13372,-0.83625
2539,The Cast of High School Musical,8707,104637,12.01619,2.56619,-0.20396
2540,"Matthew ""Mdot"" Finley",52546,255251,4.85757,1.76773,-1.37134
2541,Martina Stoessel,87636,2144151,24.46627,3.23735,0.77728
2542,Zac Efron,694421,6641989,9.56477,2.35752,-0.50904
2543,Cast of High School Musical: The Musical: The Series,82393,1598298,19.39823,3.01544,0.45284
2544,McClain Sisters,26448,178758,6.75859,2.0488,-0.9604
2545,Amy Adams,205047,1290004,6.29122,1.98667,-1.05124
2546,Drew Seeley,110120,744389,6.75973,2.04894,-0.9602
2547,Sharpay,23012,101609,4.41528,1.68922,-1.48612
2548,Jordan Francis,67591,294870,4.36249,1.67942,-1.50045
2549,Auli'i Cravalho,480090,4979837,10.37269,2.43121,-0.40131
2550,Everlife,61972,411228,6.63559,2.03282,-0.98377
2551,Judy Kuhn,341834,2224997,6.50897,2.01609,-1.00823
2552,Naughty Boy,1043968,10527971,10.08456,2.40555,-0.43882
2553,Sam smith & Normani,28043,323637,11.54032,2.52894,-0.25842
2554,Khalid,1945744,77368682,39.76301,3.70777,1.46505
2555,Zak Abel,151207,1201132,7.94357,2.19093,-0.7526
2556,John Newman,1003199,11940022,11.90193,2.55737,-0.21686
2557,James Smith,168164,1391743,8.27605,2.22743,-0.69924
2558,Todrick Hall,275884,5060016,18.34103,2.96222,0.37504
2559,Rhys Lewis,214575,2120242,9.88107,2.38702,-0.46592
2560,Jacob Banks,272715,3067348,11.2474,2.50531,-0.29297
2561,Kwabs,288017,2680167,9.30555,2.33268,-0.54536
2562,Jessie Reyez,493962,8563265,17.33584,2.90885,0.29701
2563,James Tw,433407,5058276,11.67093,2.53931,-0.24326
2564,Robin Thicke,1621578,17838334,11.00059,2.48495,-0.32274
2565,Blue,602558,6989250,11.59927,2.53363,-0.25157
2566,Kate Ryan,458946,5471419,11.92167,2.5589,-0.21462
2567,Velvet,192751,1891820,9.81478,2.38091,-0.47485
2568,BWO,104828,1695375,16.17276,2.84332,0.2012
2569,Drew Sycamore,27528,297464,10.80547,2.46856,-0.3467
2570,Nikki Clan,50100,379960,7.58388,2.14988,-0.81262
2571,Sandoval,49584,438846,8.85037,2.2875,-0.61142
2572,Onda Vaselina,59141,464463,7.85335,2.18079,-0.76743
2573,Kalimba,146918,1284114,8.74028,2.27626,-0.62785
2574,Sentidos Opuestos,60195,481192,7.99375,2.19652,-0.74443
2575,Daniela Romo,92036,879143,9.55206,2.35632,-0.5108
2576,Erreway,31706,1001100,31.57346,3.48349,1.13715
2577,Floricienta,66342,1214734,18.3099,2.96061,0.37268
2578,Flans,67017,806527,12.03448,2.56759,-0.20192
2579,Lola,94889,575722,6.06725,1.95547,-1.09685
2580,Lynda,43484,495970,11.40554,2.51814,-0.27421
2581,Moenia,117783,1780199,15.11409,2.77969,0.10817
2582,Amanda Miguel,91796,984060,10.71995,2.46129,-0.35733
2583,Yuri,192756,1922973,9.97615,2.39572,-0.4532
2584,Pilar Montenegro,23956,162928,6.80085,2.05423,-0.95246
2585,Culture Club,1212030,10177780,8.39729,2.24042,-0.68025
2586,Deniece Williams,406066,2139182,5.26805,1.83546,-1.27231
2587,The Go-Go's,575851,4880465,8.4752,2.24867,-0.66819
2588,Mr. Mister,670714,4669642,6.96218,2.0747,-0.92254
2589,Starship,1121348,8494522,7.57527,2.14888,-0.81408
2590,Pat Benatar,1253927,12692029,10.12181,2.4089,-0.43393
2591,Tiffany,563407,4499044,7.98541,2.1956,-0.74578
2592,The Pointer Sisters,1047703,7767945,7.41425,2.12992,-0.8418
2593,The B-52's,1333141,17781973,13.33839,2.66294,-0.06251
2594,Shakespear's Sister,159764,1420082,8.88856,2.29137,-0.60576
2595,T'Pau,253031,1513202,5.98027,1.94308,-1.11497
2596,Deborah Harry,142964,913379,6.38882,1.99996,-1.03181
2597,Paul Young,550602,3961404,7.19466,2.10348,-0.88046
2598,The Pretenders,1028891,10602470,10.30474,2.42522,-0.41007
2599,Berlin,995566,6870440,6.90103,2.06699,-0.93381
2600,'Til Tuesday,219534,1688358,7.6906,2.16224,-0.79455
2601,Frankie Goes to Hollywood,1000376,8335629,8.33248,2.2335,-0.69037
2602,Frida,140833,1096649,7.78681,2.17325,-0.77845
2603,Erasure,1100764,17775873,16.14865,2.84191,0.19914
2604,Sinéad O'Connor,1445156,18840055,13.03668,2.64167,-0.09361
2605,Boy George,179272,1229948,6.86075,2.06188,-0.94128
2606,Kenny Loggins,1448487,13178990,9.09844,2.31238,-0.57504
2607,Fine Young Cannibals,711388,5252127,7.38291,2.12619,-0.84726
2608,Katrina and the Waves,488919,2414429,4.93829,1.78142,-1.35132
2609,a-ha,2899164,48346998,16.67618,2.87221,0.24344
2610,Rick Astley,1381526,11299502,8.17899,2.21691,-0.71462
2611,Cock Robin,169667,1265681,7.45975,2.13531,-0.83392
2612,Cutting Crew,1022835,7726570,7.55406,2.1464,-0.81771
2613,Exposé,116822,925771,7.92456,2.1888,-0.75572
2614,Duran Duran,2590844,55676865,21.48984,3.11306,0.59557
2615,Wham!,2832606,34417428,12.15044,2.57645,-0.18896
2616,Divinyls,315423,2166252,6.86774,2.06277,-0.93998
2617,The Outfield,1039368,9251205,8.90078,2.29261,-0.60395
2618,The Cars,1531386,21885866,14.29153,2.72729,0.03156
2619,Miami Sound Machine,292703,1309150,4.4726,1.69975,-1.47073
2620,Huey Lewis & The News,1080551,12295609,11.379,2.516,-0.27734
2621,Michael Sembello,849762,5506130,6.4796,2.01217,-1.01396
2622,Heart,1813902,24054364,13.2611,2.65753,-0.07042
2623,Dead or Alive,1195497,10705386,8.95475,2.29804,-0.59601
2624,Boy Meets Girl,156568,892925,5.70307,1.90256,-1.17421
2625,Toni Basil,231744,995709,4.29657,1.66705,-1.51853
2626,Alison Moyet,365284,3337170,9.13579,2.31607,-0.56965
2627,Phil Collins,2772641,51841632,18.69755,2.98049,0.40175
2628,Will to Power,95257,415262,4.35933,1.67883,-1.50131
2629,Hall & Oates,1413417,18830952,13.32298,2.66186,-0.06409
2630,The Human League,1512109,17082906,11.29739,2.50938,-0.28702
2631,The Communards,282525,1802521,6.38001,1.99877,-1.03355
2632,Nik Kershaw,464797,4628327,9.95771,2.39404,-0.45565
2633,Stacey Q,288128,2153401,7.47373,2.13697,-0.8315
2634,Johnny Hates Jazz,317475,2349315,7.39997,2.12822,-0.84429
2635,"Charli XCX, Troye Sivan",27766,276773,9.96769,2.39495,-0.45432
2636,nimmo,48397,344885,7.12601,2.09507,-0.89276
2637,MARUV,86041,1963698,22.82255,3.17063,0.67974
2638,"Calvin Harris, Sam Smith",28898,203968,7.05796,2.08666,-0.90505
2639,Colette Carr,42255,585716,13.86113,2.69874,-0.01017
2640,Ivy Levan,46218,813823,17.60797,2.92358,0.31854
2641,Uffie,560477,9107331,16.24922,2.84776,0.20769
2642,Fiona Apple,2386301,139000102,58.24916,4.08175,2.01182
2643,Nasty Cherry,155774,1833911,11.77281,2.54731,-0.23157
2644,V V Brown,231929,3247626,14.00261,2.70822,0.00368
2645,Emile Haynie,192065,1332408,6.93724,2.07156,-0.92713
2646,RAYE & 070 Shake,18845,279589,14.83545,2.76225,0.08267
2647,Clare Maguire,175140,2514087,14.35464,2.73141,0.03758
2648,Frou Frou,1653515,27363378,16.5486,2.86497,0.23285
2649,Carla Morrison,304428,6559176,21.54583,3.11555,0.59921
2650,Sheppard,544636,5355067,9.83235,2.38253,-0.47248
2651,Em Beihold,335794,4955749,14.75825,2.75736,0.07552
2652,Chelsea Cutler,401210,10016646,24.96603,3.25678,0.80569
2653,Jessia,118505,962382,8.12095,2.21057,-0.72389
2654,Christina Grimmie,89984,1544239,17.16107,2.89928,0.28301
2655,Emily Burns,123196,1137004,9.22915,2.32524,-0.55624
2656,Taylor Bickett,84012,835778,9.94819,2.39317,-0.45692
2657,Nick Jonas & the Administration,127786,1382810,10.82121,2.46989,-0.34476
2658,Cody Simpson,416863,4299899,10.31487,2.42611,-0.40876
2659,Jake Miller,189210,3231237,17.07742,2.89466,0.27626
2660,Jordan Fisher,149685,1177316,7.86523,2.18213,-0.76547
2661,Conor Maynard,430084,5409697,12.5782,2.60846,-0.14216
2662,Jack & Jack,245487,3883630,15.82004,2.82257,0.17086
2663,bazzi,1222126,30614645,25.05029,3.26002,0.81043
2664,Ansel Elgort,231812,2360004,10.18063,2.41418,-0.42621
2665,AKASAKI,47011,625257,13.29994,2.66025,-0.06644
2666,4na,11451,121598,10.61805,2.45255,-0.37011
2667,suisoh,4642,51183,11.02369,2.48687,-0.31993
2668,fujii kaze,609053,20801490,34.15376,3.55973,1.24861
2669,Haruno,68861,1246516,18.10165,2.94977,0.35683
2670,King Gnu,375879,13019558,34.63753,3.57339,1.26858
2671,DurdN,79800,856458,10.73242,2.46235,-0.35578
2672,Meychan,14763,232089,15.71992,2.8166,0.16213
2673,すりぃ,56912,1292723,22.71401,3.16606,0.67306
2674,Kei Sugawara,17555,224941,12.81277,2.62559,-0.11712
2675,Gen Hoshino,190449,3349228,17.58586,2.9224,0.31682
2676,TU→YU,1174,27156,23.11148,3.18268,0.69735
2677,Sou,40780,774244,18.9854,2.995,0.42296
2678,Mrs. GREEN APPLE,310960,7734915,24.87422,3.25324,0.80052
2679,Tsukuyomi,29792,893165,29.97902,3.43331,1.06378
2680,音田 雅則,15924,109976,6.90587,2.0676,-0.93292
2681,KANA-BOON,405293,9101876,22.45746,3.15518,0.65715
2682,Soushi Sakiyama,75537,884795,11.71324,2.54264,-0.23839
2683,uki3,18319,254708,13.90327,2.70158,-0.00602
2684,Macaroni Empitsu,52085,646151,12.40546,2.59566,-0.16088
2685,Myuk,25406,310111,12.20573,2.58065,-0.18282
2686,Empty old City,7082,155134,21.9023,3.13123,0.62213
2687,BURNOUT SYNDROMES,221369,4284692,19.35534,3.01334,0.44977
2688,Mega Shinnosuke,72798,817660,11.23174,2.50403,-0.29484
2689,Ayumu Imazu,46711,438241,9.38176,2.34005,-0.53459
2690,Tani Yuuki,35526,442430,12.45334,2.59922,-0.15567
2691,Muque,18865,322914,17.11618,2.8968,0.27939
2692,PEOPLE 1,56982,1132131,19.86787,3.03821,0.48613
2693,SPYAIR,177898,5642111,31.71524,3.48784,1.14351
2694,Kiro Akiyama,79152,1039343,13.1308,2.64835,-0.08384
2695,back number,94669,3979299,42.03336,3.76197,1.54429
2696,Rulu,8829,160641,18.19263,2.95452,0.36378
2697,Houshou Marine,20174,309210,15.32639,2.79278,0.12731
2698,Hitsujibungaku,145491,3028005,20.81217,3.08246,0.55083
2699,Penthouse,22077,356615,16.1525,2.84214,0.19947
2700,FAKE TYPE.,65968,1663936,25.22299,3.26663,0.82009
2701,チョーキューメイ,30571,281833,9.21866,2.32421,-0.55775
2702,Tonun,28118,283193,10.07123,2.40434,-0.44059
2703,Shin Sakiura,79988,957302,11.96792,2.56247,-0.2094
2704,Polkadot Stingray,158577,5167458,32.58622,3.51411,1.18192
2705,Bin,211650,5368670,25.36567,3.27206,0.82803
2706,millennium parade,135900,2147729,15.80362,2.82159,0.16943
2707,r-906,34661,1014082,29.2563,3.4097,1.02926
2708,Tayori,6903,134479,19.47841,3.01937,0.45859
2709,yourness,20703,291480,14.07843,2.71326,0.01105
2710,『ユイカ』,57435,1180849,20.55938,3.07081,0.5338
2711,Yoake,29911,250724,8.38205,2.23879,-0.68263
2712,Nakiso,40954,1139599,27.82563,3.36126,0.95844
2713,Hachi,156900,3015116,19.21667,3.0065,0.43977
2714,The Binary,15705,290668,18.50681,2.97076,0.38752
2715,MIKANZIL,24655,336620,13.65266,2.68462,-0.03081
2716,Cidergirl,85669,1322885,15.44163,2.79981,0.13759
2717,Nanawoakari,36394,711435,19.5476,3.02274,0.46352
2718,indigo la End,187579,6062571,32.31992,3.50615,1.17028
2719,Mili,192192,16269841,84.65366,4.45031,2.55067
2720,n-buna,52205,864833,16.56577,2.86595,0.23429
2721,sajou no hana,32466,461748,14.22207,2.72274,0.02491
2722,Oresama,27418,576110,21.01134,3.09155,0.56412
2723,THE ORAL CIGARETTES,329425,9470349,28.74803,3.39276,1.0045
2724,yanaginagi,72448,1628665,22.48015,3.15615,0.65857
2725,Necry Talkie,8582,124192,14.46953,2.73887,0.04849
2726,DADARAY,40207,657532,16.35326,2.85378,0.21649
2727,Masaki Suda,42324,527705,12.46792,2.60031,-0.15408
2728,ASIAN KUNG-FU GENERATION,578096,32002354,55.3581,4.03172,1.93868
2729,daoko,235831,7703650,32.66583,3.51648,1.18538
2730,Yoshida Yasei,11172,184954,16.55365,2.86526,0.23328
2731,Sakurazaka46,3899,329629,84.52025,4.44875,2.54839
2732,F5ve,81872,2449441,29.91756,3.43132,1.06087
2733,ME:I,20916,571995,27.34593,3.34448,0.93391
2734,BABYMETAL & Electric Callboy,3868,45024,11.63711,2.53663,-0.24718
2735,REIRIE,5237,116454,22.23253,3.14555,0.64307
2736,FRUITS ZIPPER,16265,367758,22.609,3.16162,0.66656
2737,Harumakigohan,38662,1305107,33.75596,3.54835,1.23198
2738,=LOVE,12142,721141,59.38738,4.10078,2.03965
2739,SoraMafuUraSaka,40485,534860,13.21098,2.65401,-0.07557
2740,NiziU,104280,3574789,34.28034,3.56332,1.25386
2741,Wednesday Campanella,127591,3747988,29.37478,3.41361,1.03498
2742,Ayase×Ado,3473,35273,10.15342,2.41174,-0.42977
2743,HimeHina,15851,440887,27.8127,3.36081,0.95779
2744,AKB48,154666,19224453,124.29576,4.83067,3.10677
2745,Wasuta,13439,410301,30.52834,3.45088,1.08947
2746,IS:SUE,4972,95512,19.20611,3.00598,0.43901
2747,40mP,110799,1537447,13.87587,2.69974,-0.00871
2748,妖精帝國,56704,3248164,57.28179,4.06528,1.98774
2749,Roselia,56424,3999446,70.88074,4.275,2.29436
2750,BABYMETAL,722488,42301610,58.54983,4.08681,2.01922
2751,RAISE A SUILEN,35317,1955959,55.38136,4.03213,1.93928
2752,Kairikibear,131226,4154678,31.66023,3.48615,1.14104
2753,Love Sick,27481,390781,14.21952,2.72257,0.02466
2754,Nogizaka46,71668,3461550,48.29912,3.8979,1.74303
2755,Ladybaby,68811,946694,13.75768,2.69176,-0.02038
2756,ALI PROJECT,107173,6403356,59.74728,4.10672,2.04833
2757,Tommy february6,244952,7603574,31.04095,3.46701,1.11305
2758,Bish,89306,3385540,37.90901,3.66122,1.39699
2759,いよわ,22968,441310,19.21328,3.00633,0.43953
2760,NOMELON NOLEMON,15673,324694,20.71545,3.07802,0.54434
2761,Yuuyu,42775,467837,10.9369,2.47963,-0.33052
2762,CUTIE STREET,6866,98812,14.38939,2.73367,0.04089
2763,Sekai,44490,416110,9.35267,2.33724,-0.53869
2764,ロス,15194,271063,17.83896,2.93592,0.33658
2765,Keyakizaka46,20516,1074352,52.36399,3.97713,1.85887
2766,優里,32633,608751,18.65388,2.97827,0.3985
2767,Novelbright,50929,814392,15.99041,2.83264,0.18559
2768,wacci,28703,380752,13.26477,2.65779,-0.07004
2769,あたらよ,22566,510386,22.61647,3.16194,0.66703
2770,乃紫,20147,174028,8.63748,2.26565,-0.64336
2771,Kotoha,5677,154555,27.21997,3.34002,0.92739
2772,あいみょん,15600,1093865,70.11505,4.26429,2.2787
2773,Kohana Lam,845,12349,14.59692,2.74707,0.06048
2774,Jelee,5994,105063,17.5251,2.91912,0.31202
2775,Leina,8666,100265,11.56859,2.5312,-0.25512
2776,Number_i,13681,287750,21.03128,3.09246,0.56545
2777,KOBASOLO,48947,838477,17.12995,2.89756,0.2805
2778,Chiai Fujikawa,10072,130330,12.93854,2.63465,-0.10387
2779,Takaya Kawasaki,10791,79200,7.33876,2.12091,-0.85498
2780,HIRAIDAI,45030,474848,10.54491,2.44624,-0.37933
2781,Lefty Hand Cream,24296,309507,12.73848,2.6202,-0.125
2782,Elza Kanzaki,3773,55109,14.60227,2.74741,0.06098
2783,あれくん,18079,233515,12.91565,2.63301,-0.10627
2784,Little Glee Monster,53519,1002150,18.72477,2.98187,0.40376
2785,Krage,16694,215462,12.90578,2.6323,-0.10731
2786,マカロニえんぴつ,3101,84827,27.3459,3.34448,0.93391
2787,Kaf,3154,85040,26.95404,3.33056,0.91356
2788,藤井 風,13160,928454,70.54585,4.27033,2.28753
2789,さユり,13500,618560,45.81586,3.84622,1.66747
2790,BUMP OF CHICKEN,248739,13251995,53.27649,3.99409,1.88366
2791,WurtS,27584,549028,19.90313,3.03989,0.48859
2792,Orangestar,37173,827634,22.26378,3.14689,0.64503
2793,にしな,11597,179200,15.45093,2.80038,0.13842
2794,HY,49036,1015604,20.71097,3.07781,0.54403
2795,chilldspot,24592,466834,18.98239,2.99485,0.42274
2796,RADWIMPS,553094,30450125,55.05405,4.02631,1.93077
2797,Atarayo,16765,314801,18.77615,2.98447,0.40757
2798,kessoku band,58327,2418927,41.47111,3.74882,1.52507
2799,Saucy dog,47863,1176153,24.57281,3.24152,0.78338
2800,Asaka,29033,431958,14.87766,2.76491,0.08656
2801,miwa,116377,2630942,22.60686,3.16153,0.66643
2802,NANAOAKARI,35917,519312,14.45826,2.73814,0.04742
2803,DISH//,72184,1163482,16.11805,2.84013,0.19654
2804,tomoo,15274,381237,24.95823,3.25648,0.80525
2805,MY FIRST STORY,126498,4724268,37.34628,3.64665,1.37569
2806,Aina the End,25445,434369,17.07022,2.89426,0.27568
2807,BLUE ENCOUNT,171673,2471480,14.39635,2.73413,0.04156
2808,Chilli Beans.,42119,955735,22.69076,3.16508,0.67162
2809,Masayoshi Oishi,41812,564277,13.49525,2.67382,-0.0466
2810,7!!,132804,1985769,14.95251,2.76961,0.09343
2811,FZMZ,26204,349415,13.3339,2.66262,-0.06298
2812,Eve,1456581,38938479,26.73277,3.32261,0.90194
2813,HOME MADE 家族,90525,2309828,25.51563,3.27773,0.83632
2814,Rude-α,95330,1212793,12.72191,2.61899,-0.12677
2815,chelmico,105793,2116865,20.00931,3.04496,0.496
2816,Flow,487421,11657866,23.91739,3.21556,0.74543
2817,nobodyknows+,118457,1664631,14.05249,2.71154,0.00853
2818,星野源,20275,2520358,124.30252,4.83073,3.10685
2819,ORANGE RANGE,292976,6776857,23.13102,3.18349,0.69854
2820,スキマスイッチ,65480,2387683,36.46375,3.62337,1.34166
2821,UVERworld,402115,15309790,38.07306,3.66543,1.40315
2822,Bradio,142481,2732577,19.1784,3.00461,0.43701
2823,ゆず,40567,2033161,50.11735,3.93412,1.79598
2824,サカナクション,66136,9392971,142.02293,4.963,3.30024
2825,The Du,121838,1393383,11.43626,2.52061,-0.2706
2826,フジファブリック,70196,5607908,79.88814,4.39306,2.46697
2827,サンボマスター,73271,2481156,33.86226,3.5514,1.23643
2828,Madkid,64012,970374,15.15901,2.78247,0.11224
2829,UNISON SQUARE GARDEN,122037,4664129,38.21866,3.66915,1.40859
2830,ポルノグラフィティ,111452,4932649,44.25766,3.81237,1.61798
2831,STEREO DIVE FOUNDATION,69427,1241208,17.87762,2.93797,0.33958
2832,Irys,21747,987169,45.39125,3.83711,1.65415
2833,Hakos Baelz,19580,818167,41.78371,3.75615,1.53579
2834,Mori Calliope,101869,8232837,80.81709,4.40448,2.48366
2835,Takanashi Kiara,26419,993447,37.60208,3.6533,1.38542
2836,常闇トワ,16882,945323,55.99259,4.04292,1.95505
2837,Moona Hoshinova,10849,286216,26.37935,3.30978,0.88318
2838,Kobo Kanaeru,21800,394328,18.08761,2.94903,0.35575
2839,azki,16389,650679,39.69975,3.70622,1.46279
2840,Nekomata Okayu,1823,51201,28.07072,3.36973,0.97083
2841,Tokoyami Towa,1243,45658,36.70257,3.62972,1.35094
2842,Minato Aqua,931,21410,22.9721,3.17689,0.68889
2843,Nanashi Mumei,10224,300155,29.35501,3.41296,1.03403
2844,猫又おかゆ,20512,712704,34.74401,3.57638,1.27296
2845,Ninomae Ina’nis,14974,343288,22.92407,3.17488,0.68595
2846,Tsunomaki Watame,1849,35613,19.25027,3.00816,0.4422
2847,Amane Kanata,1342,31081,23.14296,3.18399,0.69927
2848,湊あくあ,17385,662695,38.11658,3.66654,1.40477
2849,角巻わため,19533,613567,31.4102,3.47847,1.12981
2850,宝鐘マリン,55161,1979153,35.87892,3.60764,1.31866
2851,Sakura Miko,4137,59687,14.42411,2.73593,0.04419
2852,TOKINOSORA,5776,156702,27.12515,3.33666,0.92248
2853,Nerissa Ravencroft,8074,469661,58.16235,4.08028,2.00967
2854,Inugami Korone,1862,19834,10.64626,2.45498,-0.36656
2855,Pavolia Reine,4301,79245,18.4205,2.96632,0.38103
2856,Nakiri Ayame,745,17445,23.38471,3.19395,0.71383
2857,Ceres Fauna,13192,288077,21.83559,3.12832,0.61788
2858,ReGLOSS,4172,102779,24.62952,3.24374,0.78663
2859,Ookami Mio,667,11466,17.16467,2.89947,0.28329
2860,Gawr Gura,32337,993969,30.73687,3.45747,1.09911
2861,Ninomae Ina'nis,1605,18615,11.5909,2.53297,-0.25253
2862,紫咲シオン,10174,200969,19.75125,3.0326,0.47793
2863,Blue Journey,2609,53694,20.57241,3.07141,0.53467
2864,Takane Lui,1022,18106,17.69892,2.92846,0.32568
2865,Ayunda Risu,5370,128742,23.96983,3.21766,0.7485
2866,Sakamata Chloe,523,7298,13.92748,2.7032,-0.00365
2867,戌神ころね,13191,274452,20.80442,3.08211,0.55032
2868,Hololive English,3957,97428,24.61546,3.24319,0.78582
2869,天音かなた,10872,372502,34.25935,3.56273,1.253
2870,大神ミオ,5780,163649,28.30807,3.37786,0.98271
2871,さくらみこ,11792,274525,23.27863,3.18959,0.70746
2872,白上フブキ,14304,417022,29.15218,3.40625,1.02422
2873,Murasaki Shion,510,8299,16.2407,2.84727,0.20697
2874,沙花叉クロヱ,5390,110162,20.43442,3.06499,0.52529
2875,百鬼あやめ,6146,144458,23.50056,3.19869,0.72076
2876,兎田ぺこら,11239,319652,28.43879,3.38231,0.98922
2877,Taku Inoue,23210,456877,19.68364,3.02934,0.47317
2878,鷹嶺ルイ,6908,170401,24.66362,3.24507,0.78857
2879,Kazama Iroha,371,3575,9.61021,2.36181,-0.50277
2880,尾丸ポルカ,6457,204636,31.6872,3.48698,1.14225
2881,Shirakami Fubuki,967,18673,19.29028,3.01014,0.4451
2882,桃鈴ねね,6131,108522,17.69765,2.92839,0.32557
2883,Momosuzu Nene,501,5446,10.8486,2.4722,-0.34138
2884,小鳥遊キアラ,1792,32747,18.2638,2.95822,0.36919
2885,nihmune,27943,2760775,98.7967,4.60313,2.7741
2886,ときのそら,6322,177350,28.04839,3.36896,0.9697
2887,Miminari,19270,250955,13.02241,2.64065,-0.0951
2888,くじら,4680,82816,17.69194,2.92809,0.32514
2889,幾田りら,13713,213091,15.5382,2.80567,0.14615
2890,花譜,42982,1304254,30.34348,3.445,1.08087
2891,P丸様｡,21004,347241,16.53134,2.86399,0.23142
2892,三月のパンタシア,6336,335213,52.89774,3.98708,1.87341
2893,ナナヲアカリ,8280,290306,35.05687,3.58509,1.28569
2894,HALCA,46694,802685,17.18995,2.90086,0.28532
2895,ポルカドットスティングレイ,10972,697616,63.57568,4.16783,2.13767
2896,Alisa Takigawa,23445,230634,9.83681,2.38294,-0.47188
2897,CY8ER,18666,532155,28.50779,3.38465,0.99264
2898,Neko Hacker,28514,716512,25.12754,3.26298,0.81476
2899,れをる,17029,847599,49.77093,3.92732,1.78604
2900,yunomi,114318,3030935,26.51295,3.31465,0.8903
2901,Such,16927,302413,17.86466,2.93729,0.33859
2902,EVO+,11938,183182,15.34316,2.7938,0.1288
2903,BPM15Q,12260,240475,19.613,3.02592,0.46817
2904,Hachioji P,113281,1782178,15.73222,2.81733,0.1632
2905,Nanahira,58200,1563236,26.85926,3.32716,0.90859
2906,HoneyComeBear,26274,762008,29.00125,3.40123,1.01688
2907,Kizuna Ai,35031,649880,18.55103,2.97302,0.39083
2908,水曜日のカンパネラ,16966,1324598,78.06907,4.37032,2.43372
2909,Shiggy Jr.,50541,799773,15.82392,2.8228,0.1712
2910,4s4ki,53707,1196892,22.28517,3.14781,0.64637
2911,TeddyLoid,172941,3502266,20.2511,3.0564,0.51273
2912,Silent Siren,47814,1894043,39.6119,3.70406,1.45963
2913,SawanoHiroyuki[nZk]:mizuki,48990,1153481,23.54475,3.20049,0.72339
2914,kradness,42663,496149,11.62921,2.53601,-0.24809
2915,KMNZ,16575,394138,23.77763,3.20994,0.73721
2916,家入レオ,17931,983913,54.86911,4.02301,1.92594
2917,Iri,73583,1705993,23.18429,3.1857,0.70177
2918,安田レイ,15636,391517,25.03785,3.25955,0.80974
2919,Sennzai,12019,336653,28.00773,3.36756,0.96765
2920,nonoc,31624,562060,17.77264,2.9324,0.33144
2921,Nayutalien,94017,1670313,17.76588,2.93204,0.33091
2922,FEMM,48130,1262306,26.22646,3.30418,0.87499
2923,Nomico,92027,1596148,17.34415,2.90931,0.29768
2924,Yousei Teikoku,133748,4049189,30.27453,3.4428,1.07766
2925,Scandal,261794,9467609,36.1642,3.61534,1.32992
2926,Perfume,415950,35495542,85.33587,4.45824,2.56226
2927,Nano,131357,2577778,19.62406,3.02645,0.46894
2928,ナノ,26914,1595909,59.2944,4.09923,2.03738
2929,いとうかなこ,125118,4351173,34.77627,3.57728,1.27427
2930,sweet ARMS,24790,593389,23.93566,3.21629,0.74649
2931,戸松遥,38091,1458710,38.29439,3.67108,1.41141
2932,MACHICO,42956,745225,17.34816,2.90952,0.29799
2933,安月名莉子,15280,258309,16.90393,2.88502,0.26217
2934,SawanoHiroyuki[nZk]:Tielle&Gemie,9488,153499,16.17652,2.84354,0.20152
2935,MindaRyn,27319,628918,23.02042,3.1789,0.69183
2936,大原ゆい子,46664,1261919,27.04208,3.3337,0.91815
2937,エミリア(CV:高橋李依),18387,382727,20.81395,3.08254,0.55095
2938,野水いおり,24515,634949,25.89937,3.2921,0.85733
2939,Kalafina,160784,11062650,68.80399,4.24569,2.25151
2940,FantasticYouth,44961,759046,16.88194,2.88379,0.26037
2941,(K)NoW_NAME,93261,2385814,25.58184,3.28022,0.83996
2942,藍井エイル,42344,2305311,54.44116,4.01532,1.9147
2943,SawanoHiroyuki[nZk]:Tielle,13296,243701,18.32751,2.96152,0.37401
2944,Yurika,60893,884969,14.53294,2.74296,0.05447
2945,Anonymouz,33318,485326,14.56604,2.74509,0.05758
2946,亜咲花,24743,443447,17.92139,2.94029,0.34297
2947,ChouCho,58993,1698346,28.78845,3.39412,1.00649
2948,彩音,49552,1623687,32.76667,3.51947,1.18975
2949,Yui Horie,62173,1153378,18.5508,2.97301,0.39081
2950,ニノミヤユイ,16638,254740,15.30981,2.79176,0.12582
