ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
68,Raffaella carrà,165546,1828660,11.04616,2.48874
69,Liberato,28642,1391356,48.57577,3.9035
70,Il Pagante,40062,822011,20.51795,3.06888
71,Il Volo,103858,2002106,19.27715,3.00949
72,Aiello,15376,255378,16.60779,2.86834
73,Besa,25555,244165,9.55411,2.35651
74,Ornella Vanoni,181528,1701714,9.37433,2.33933
75,Laura Pausini,496505,18001113,36.25557,3.6178
76,dotter,41644,1358190,32.61351,3.51492
77,Alessandra,169475,3027640,17.86471,2.93729
78,Ricchi e poveri,317369,3102067,9.77429,2.37716
79,Fulminacci,36727,1614569,43.96016,3.80577
80,J-AX,66512,1386593,20.84694,3.08406
81,Tancredi,15514,203417,13.11098,2.64695
82,Lazza,82259,8568940,104.16897,4.65556
83,883,76120,1575081,20.6918,3.07693
84,Vasco Rossi,186492,4005076,21.47574,3.11243
85,Fabrizio Moro,48974,631250,12.88922,2.63111
86,Mango,79770,835022,10.46773,2.43953
87,Patty Pravo,102885,836610,8.13142,2.21172
88,Jovanotti,235769,4601555,19.51713,3.02126
89,Gianna Nannini,178548,2106019,11.79518,2.54906
90,Lùnapop,32593,374620,11.49352,2.52521
91,Loreen,687043,17009095,24.75692,3.2487
92,Belén Aguilera,54529,3258206,59.7507,4.10677
93,Modà,44737,771496,17.24475,2.90387
94,Lorenzo Fragola,28133,438877,15.59952,2.80937
95,Loretta Goggi,37562,264034,7.02909,2.08307
96,Le Vibrazioni,65494,610425,9.32017,2.3341
97,Nada,148626,1435621,9.65922,2.36642
98,Nek,223991,3548246,15.84094,2.82381
99,Zero Assoluto,99819,1305969,13.08323,2.64498
100,Sarah,36531,440145,12.0482,2.56865
101,Colapesce,63494,1425150,22.44507,3.15466
102,Biagio Antonacci,114032,1227950,10.76837,2.46541
103,Articolo 31,94019,1749666,18.6095,2.97601
104,Carmen Consoli,92026,1662808,18.06869,2.94804
105,Cristina D'Avena,32313,695477,21.52246,3.11451
106,Manga Boys,2948,20879,7.08002,2.08939
107,Caparezza,131260,5906547,44.99849,3.8286
108,DJ Matrix,33250,337087,10.13764,2.41033
109,Edoardo Bennato,110858,1047278,9.44693,2.3463
110,Max Gazzè,89307,1187541,13.29714,2.66005
111,Emis Killa,48507,2743796,56.56378,4.05289
112,Claudio Baglioni,103816,1160026,11.17375,2.49928
113,Lucio Battisti,206423,4133928,20.02639,3.04577
114,Neffa,79752,1183576,14.84052,2.76257
115,PSICOLOGI,39654,3063369,77.25051,4.35991
116,Gigi D'Alessio,61327,738801,12.04671,2.56853
117,Luciano Ligabue,89698,3006515,33.51782,3.54147
118,Enzo Draghi,2728,14915,5.46537,1.86646
119,Guè,50440,4348155,86.20279,4.46823
120,Frah Quintale,78650,3796685,48.27255,3.89736
121,Canova,26855,746706,27.80406,3.36051
122,Franco Battiato,281258,6039154,21.47186,3.11226
123,Angelo Branduardi,65214,1071114,16.42435,2.85786
124,Max Pezzali,85202,940024,11.03275,2.48763
125,Fabri Fibra,100080,4676391,46.72606,3.86547
126,CCCP – Fedeli Alla Linea,39301,1014250,25.80657,3.28864
127,Marco Masini,69569,638595,9.17917,2.32034
128,Leon Faun,19394,1003369,51.73338,3.96524
129,Franco126,31826,1232842,38.73572,3.68225
130,Brunori Sas,49186,1417342,28.81537,3.39502
131,Elio e le Storie Tese,92363,3432432,37.16201,3.64184
132,Zucchero,341961,4503653,13.17003,2.65112
133,Rosa Chemical,32064,856048,26.69727,3.32133
134,Giancane,11512,244185,21.2095,3.10052
135,Lorella Cuccarini,17655,102381,5.79865,1.91672
136,Fabio Rovazzi,25342,273543,10.79363,2.46755
137,Simba La Rue,31890,2782287,87.24364,4.4801
138,Rino Gaetano,155012,2718198,17.53529,2.91967
139,Verdena,125170,4968846,39.69646,3.70614
140,Gianni Morandi,96238,761873,7.91646,2.18789
141,Renato Zero,82516,943832,11.43803,2.52075
142,Eugenio in via di gioia,17535,608443,34.69679,3.57506
143,Rhove,46098,1924061,41.73758,3.75507
144,Lucio Dalla,188608,2914901,15.45472,2.80061
145,Francesco Guccini,90167,1996203,22.1387,3.1415
146,Umberto Tozzi,204620,1513703,7.39759,2.12794
147,Baustelle,93825,3815483,40.66551,3.72967
148,Negrita,98743,1876032,18.99894,2.99567
149,Antonello Venditti,134700,1643811,12.2034,2.58047
150,Litfiba,62043,1744270,28.11343,3.37119
151,Donatella Rettore,62178,486291,7.82082,2.17711
152,Murubutu,12488,670498,53.68708,4.00162
153,Venerus,34525,909788,26.3508,3.30874
154,Don Joe,21500,444262,20.66238,3.07557
155,Daniele Silvestri,130756,1882699,14.39845,2.73426
156,I Cani,36920,1787086,48.40296,3.90001
157,MinaCelentano,20194,221181,10.95226,2.48092
