PrID,LastAr,Analyzed
1,2029,56517795
2,2728,2697879
3,5356,2498049
4,8490,12722505
5,10619,2178890
6,13257,2069562
7,16871,14078639
8,18736,3733849
9,21228,1783995
10,26246,10326752
11,28870,3441376
