PrID,LastAr,Analyzed
1,2041,56839809
2,3096,5408502
3,5997,5125432
4,8892,4641483
5,11806,4435665
6,16888,32399224
7,17666,3913172
8,20636,3606869
9,25983,12500710
10,28870,4165941
