PrID,LastAr,Analyzed
1,2406,66565599
2,2668,6899115
3,5106,7029687
4,8407,25036773
5,9959,6391130
6,12387,5947977
7,16319,25405436
8,18029,13572158
9,19778,4958945
10,24060,14466075
11,26465,8674835
12,28870,2890810
